FID,the_geom,ID_order,ID,today,deviceid,simserial,coordinate,Y_coordina,X_coordina,_coordinat,_coordin_1,tree_speci,other,tree_healt,threat,threat_ele,threat_roa,threat_bui,threat_wat,threat_peo,other_thre,other_001,tree_site,tree_base,_submissio,_index,functional,function_1,function_2,other_002,distance_c,angle_bott,angle_top,circumfere,diameter,comment_st,stem_tree_,_id,small_big
dar_es_salaam_trees.1,POINT (39.26112167 -6.773895),1,100,3/11/2020,3.53E+19,"8,93E+18",-6.773895 39.26112166666667 17.5 5.0,-6.773895,39.26112167,17.5,5,ashok,,healthy,building/structures,0,0,1,0,0,,,private,adjacent to a hard surface,2020-03-11T11:10:42,31,,,,,,,,,,,,,small
dar_es_salaam_trees.2,POINT (39.25849833 -6.77576),2,101,3/11/2020,3.58E+19,"8,93E+18",-6.775760000000001 39.258498333333335 -23.1 4.9,-6.77576,39.25849833,-23.1,4.9,other,,healthy,building/structures,0,0,1,0,0,,,private,restricted/incased,2020-03-11T09:24:40,2,,,,,,,,,,,,,small
dar_es_salaam_trees.3,POINT (39.258475 -6.775701667),3,102,3/11/2020,3.58E+19,"8,93E+18",-6.7757016666666665 39.258475 -22.6 4.3,-6.77570167,39.258475,-22.6,4.3,other,,healthy,building/structures,0,0,1,0,0,,,private,restricted/incased,2020-03-11T09:24:46,3,,,,,,,,,,,,,small
dar_es_salaam_trees.4,POINT (39.25837667 -6.775561667),4,103,3/11/2020,3.58E+19,"8,93E+18",-6.775561666666666 39.25837666666666 -24.2 2.8,-6.77556167,39.25837667,-24.2,2.8,other,,healthy,building/structures,0,0,1,0,0,,,private,restricted/incased,2020-03-11T09:24:52,4,,,,,,,,,,,,,small
dar_es_salaam_trees.5,POINT (39.258525 -6.77564),5,104,3/11/2020,3.58E+19,"8,93E+18",-6.77564 39.258525 -23.4 3.3,-6.77564,39.258525,-23.4,3.3,other,,healthy,building/structures,0,0,1,0,0,,,private,restricted/incased,2020-03-11T09:24:58,5,,,,,,,,,,,,,small
dar_es_salaam_trees.6,POINT (39.25847167 -6.775725),6,105,3/11/2020,3.58E+19,"8,93E+18",-6.7757249999999996 39.258471666666665 -21.8 5.0,-6.775725,39.25847167,-21.8,5,other,,healthy,building/structures,0,0,1,0,0,,,private,restricted/incased,2020-03-11T09:25:03,6,,,,,,,,,,,,,small
dar_es_salaam_trees.7,POINT (39.258575 -6.774793333),7,106,3/11/2020,3.58E+19,"8,93E+18",-6.774793333333334 39.258575 1.5 4.2,-6.77479333,39.258575,1.5,4.2,other,,healthy,building/structures,0,0,1,0,0,,,public,Open soil,2020-03-11T09:27:54,20,,,,,,,,,,,,,small
dar_es_salaam_trees.8,POINT (39.25687833 -6.774921667),8,107,3/11/2020,3.58E+19,"8,93E+18",-6.774921666666668 39.25687833333333 21.0 3.1,-6.77492167,39.25687833,21,3.1,other,,healthy,building/structures,0,0,1,0,0,,,public,Open soil,2020-03-11T09:29:48,21,,,,,,,,,,,,,small
dar_es_salaam_trees.9,POINT (39.26011667 -6.772826667),9,108,3/12/2020,3.58E+19,"8,93E+18",-6.772826666666667 39.26011666666667 18.2 4.5,-6.77282667,39.26011667,18.2,4.5,other,,healthy,building/structures,0,0,1,0,0,,,public,Open soil,2020-03-12T08:34:03,4,,,,,,,,,,,,,small
dar_es_salaam_trees.10,POINT (39.26034 -6.772753333),10,109,3/12/2020,3.58E+19,"8,93E+18",-6.772753333333332 39.26034 17.3 5.0,-6.77275333,39.26034,17.3,5,other,,healthy,building/structures,0,0,1,0,0,,,public,Open soil,2020-03-12T08:34:36,5,,,,,,,,,,,,,small
dar_es_salaam_trees.11,POINT (39.26393833 -6.763203333),11,110,3/12/2020,3.59E+19,"8,93E+18",-6.763203333333333 39.263938333333336 11.5 7.4,-6.76320333,39.26393833,11.5,7.4,other,,healthy,building/structures,0,0,1,0,0,,,public,Open soil,2020-03-12T09:37:56,7,,,,,,,,,,,,,small
dar_es_salaam_trees.12,POINT (39.26093167 -6.774308333),12,111,3/12/2020,3.58E+19,"8,93E+18",-6.774308333333333 39.26093166666667 2.8 4.7,-6.77430833,39.26093167,2.8,4.7,other,,healthy,building/structures,0,0,1,0,0,,,public,Open soil,2020-03-12T10:07:44,21,,,,,,,,,,,,,small
dar_es_salaam_trees.13,POINT (39.260815 -6.774198333),13,112,3/12/2020,3.58E+19,"8,93E+18",-6.7741983333333335 39.260815 3.7 4.6,-6.77419833,39.260815,3.7,4.6,other,,healthy,building/structures,0,0,1,0,0,,,public,Open soil,2020-03-12T10:07:56,22,,,,,,,,,,,,,small
dar_es_salaam_trees.14,POINT (39.26392333 -6.774343333),14,113,3/13/2020,3.59E+19,"8,93E+18",-6.774343333333333 39.26392333333333 14.7 4.9,-6.77434333,39.26392333,14.7,4.9,other,,healthy,building/structures,0,0,1,0,0,,,public,Open soil,2020-03-13T10:45:17,65,,,,,,,,,,,,,small
